,Unnamed: 0.1,Unnamed: 0,local_time,evaluator,subject,Grade exercise 'a' (ex.: 0.3),Grade exercise 'b' (ex.: 0.3),Grade exercise 'c' (ex.: 0.3),Total score (ex.:2.5),comments,student_name
0,144,144,2021-07-30 17:08:08.671,Fernando Soares de Jesus,Geografia,0.0,0.0,1.0,1.0,,David Espinoza
1,135,135,2021-07-30 17:02:01.342,Fernando Soares de Jesus,Geografia,0.5,0.3,1.0,1.8,"No item b), era necessário, para aproveitamento completo, explicar o processo de trocas de sinais entre satélite e receptor a partir da técnica da triangulação, e a utilização do tempo entre emissão e recepção do sinal para inferência das distâncias.",Leslie Cannon
2,136,136,2021-08-02 16:20:24.256,Rafaela MTM C,Matemática,0.5,0.0,,,"A resposta A presentou um valor dentro da margem de erro, mas não apresentou desenvolvimento, então não foi possível avaliar por completo a questão.",Leslie Cannon
3,137,137,2021-07-30 17:02:22.871,Fernando Soares de Jesus,Geografia,0.0,0.0,0.0,0.0,,Christian Mays
4,139,139,2021-07-30 17:04:01.398,Fernando Soares de Jesus,Geografia,0.5,0.2,0.5,1.2,"No item b), era necessário, para aproveitamento completo, explicar o processo de trocas de sinais entre satélite e receptor a partir da técnica da triangulação, e a utilização do tempo entre emissão e recepção do sinal para inferência das distâncias. No item c), considerou-se ""posicionamento"" vago para ser considerado como correto.",Matthew Roberts
5,140,140,2021-07-30 17:04:43.147,Fernando Soares de Jesus,Geografia,0.5,0.0,0.5,1.0,,Wesley Salazar
6,141,141,2021-08-02 16:23:46.397,Rafaela MTM C,Matemática,0.0,0.0,,,,Wesley Salazar
7,119,119,2021-07-30 16:54:23.488,Fernando Soares de Jesus,Geografia,0.5,0.0,0.3,0.3,,Sarah Miller
8,120,120,2021-08-02 16:35:45.771,Rafaela MTM C,Matemática,0.5,0.0,,,"Resposta A dentro da margem de erro, mas não apresentou desenvolvimento.",Sarah Miller
9,121,121,2021-08-04 09:59:50.202,Ana Júlia,Física,0.6,0.5,0.3,1.4,"Oi, Tiago, você está em um bom caminho. Alguns detalhes: no item b), tinha uma pegadinha, a maior aceleração EM MÓDULO na verdade é entre 20 e 25 segundos, a = (0 - 15)/5 = - 3 m/s². No item c), era necessário considerar tanto o MRUV, entre 0 e 10 segundos, quanto o MRU, entre 10 e 20 segundos. Um jeito legal de resolver sem precisar calcular cada movimento é lembrar que a área abaixo do gráfico corresponde ao deslocamento. Se quiser, venha na monitoria ou mande uma mensagem pra gente ver essa questão. Bons estudos!",Sarah Miller
10,0,0,2021-07-29 16:34:49.864,Fernando Soares de Jesus,Geografia,0.5,0.0,0.5,1.0,,John Palmer
11,1,1,2021-08-02 17:53:51.069,Rafaela MTM C,Matemática,0.0,0.0,,0.0,Não entendi que medidas usou para calcular a área na letra B.,John Palmer
12,2,2,2021-08-03 08:07:59.635,Ana Júlia,Física,0.8,0.7,0.1,1.6,"Muito boas suas alternativas a) e b). Na c), faltou lembrar que o deslocamento pode ser calculado pela área abaixo do gráfico da velocidade (é bem análogo à fórmula da velocidade média que você colocou).",John Palmer
