,Unnamed: 0,Grade criterion 1,Comments criterion 1,Grade criterion 2,Comments criterion 2,Grade criterion 3,Comments criterion 3,Grade criterion 4,Comments criterion 4,Final grade,Overall comment,student_name
0,0,1.0,"Sua redação está alinhada com o tema proposto, contudo, poderia estar mais enquadrada ao molde do gênero textual dissertativo-argumentativo.",2.0,Texto bem escrito gramaticalmente e com poucos desvios ortográficos.,1.0,"Sua redação apresenta vários conectivos e mecanismos linguísticos, parabéns! Entretanto, seria interessante uma atenção maior ao significado de cada um deles. O emprego incorreto de um conectivo pode gerar prejuízo de sentido ao texto. ",1.0,"Você traz bons argumentos para a defesa de sua tese, mas não estão muito desenvolvidos.",5.0,"Oii, Diego! Sua redação traz ótimos pontos, parabéns! Acredito que alguns ajustes sejam necessários para que o texto fique mais completo e coeso. Atenção à estrutura textual dissertativa e tente desenvolver mais seus argumentos, que são muito bons!",David Espinoza
1,1,1.0,"Seu texto segue o tema proposto, contudo, é muito importante que o seguir a estrutura do gênero textual escolhido. (introdução / desenvolvimento / conclusão)",2.0,Texto com poucos desvios ortográficos. Atenção à pontuação.,1.5,Atenção à coesão textual.,1.5,"Você trouxe elementos que afirmam seu argumento, parabéns. Entretanto, seria interessante que seus repertórios estivessem mais desenvolvidos e adequados ao gênero dissertativo. Assim, a defesa da sua tese ficaria mais consistente.",6.0,"Oii, Gabrielly! Seu texto apresenta bons elementos, parabéns. Para que fique ainda melhor, tente adequar as informações ao gênero dissertativo argumentativo! Sugiro que reescreva a redação tentando seguir mais fielmente essa estrutura, ficará ótimo.",Leslie Cannon
2,2,2.0,Texto adequado ao tema e ao gênero.,2.5,Muito bom,2.0,Boa coesão textual e organização de ideias,1.5,"Apesar do texto estar bem adequado ao gênero dissertativo, os argumentos necessários para a defesa de sua tese poderiam estar mais desenvolvidos. No terceiro parágrafo, por exemplo, poderia ter um repertório que ilustrasse ou justificasse seu argumento.",8.0,"Oii, Heloísa! Seu texto está muito bom, parabéns! Recomendo uma atenção maior ao desenvolvimento dos argumentos e ao uso de repertórios para justificar suas afirmações. Ressalto também que na redação modelo UFSC não é preciso apresentar proposta de intervenção no parágrafo de conclusão, mas está bem feita!",Christian Mays
3,3,2.0,Texto de acordo com tema e gênero solicitados.,2.0,Redação com poucos desvios ortográficos. Atenção ao uso correto das vírgulas.,1.0,"Texto coeso e bem organizado. No entanto, tome cuidado ao fazer perguntas durante a argumentação, isso traz prejuízo para a sua defesa de tese. Prefira desenvolver o argumento, explique as consequências e finalize o parágrafo. :)",2.0,"Parabéns, você apresentou diversos repertórios pertinentes! Para que fique ainda melhor, desenvolva seus argumentos sem fazer perguntas, apenas explicando seu ponto de vista.",7.0,"Oii, Rafaella! Seu texto está bom e caminhando para atingir a nota máxima! Se atente aos pontos destacados em cada um dos critérios. Sugiro que reescreva a redação a partir de tais observações :) Continue praticando!!",Matthew Roberts
4,4,2.0,Texto adequado ao tema e gênero propostos.,2.0,A redação apresenta poucos desvios ortográficos. Atenção ao uso correto das vírgulas.,1.5,"Apesar de apresentar conectivos e mecanismos linguísticos, o texto poderia estar com as informações mais organizadas. Ex: dado do IBGE no parágrafo de conclusão poderia estar como forma de defender o argumento.",1.5,"Você traz ótimos repertórios, parabéns! Para que fique ainda melhor, seria interessante que estes sejam aplicados com a finalidade principal de defesa de tese :)",7.0,"Oii, Samuel! Parabéns pela sua redação, você está indo muito bem! Considere os pontos destacados em cada um dos critérios e se atente à organização das informações apresentadas :)",Wesley Salazar
5,5,1.0,"Texto adequado ao tema proposto mas não atende as especificidades estruturais do gênero dissertativo-argumentativo. A dissertação necessita de uma divisão de parágrafos (introdução, desenvolvimento e conclusão) e da defesa de um ponto de vista a partir de argumentos justificados. Seu texto defende que o grande desafio do ensino remoto é a desigualdade social, isso poderia estar explícito na introdução, por exemplo :)",2.0,Sugiro uma revisão na pontuação do texto :),1.0,"Apesar do seu texto apresentar bons apontamentos, as informações não estão muito bem organizadas e alinhadas ao gênero solicitado.",1.0,"Apesar do seu texto apresentar bons apontamentos, as informações não estão muito bem organizadas e alinhadas ao gênero solicitado.",5.0,"Oii, Tiago! Seu texto apresenta elementos muito interessantes, parabéns! Para que fique cada vez melhor, sugiro que você revise a estrutura do gênero textual dissertativo e reescreva sua redação a partir desses apontamentos :) Organize melhor as informações, ficará ótimo!",Sarah Miller
6,6,2.0,Tema e gênero textuais adequados ao proposto pela prova.,2.5,"Texto sem erros ortográficos significativos. (Atenção à repetição de palavras, use sinônimos. Ex: dados / informações)",2.5,Texto coeso e bem organizado,2.0,Poderia ter desenvolvido mais os argumentos.,9.0,"Oii, Agata!! Seu texto está de acordo com o proposto e com os critérios da UFSC, parabéns! Para que fique ainda melhor, sugiro que você desenvolva um pouco mais os argumentos, principalmente o terceiro parágrafo (nesse caso). Uma dica para esse aspecto é explicitar a consequência do argumento na sociedade! Você está indo muito bem, continue praticando :)",John Palmer
7,7,1.0,"Apesar do texto seguir o tema proposto e apresentar os principais elementos da estrutura dissertativa (introdução / desenvolvimento / conclusão), precisaria conter também elementos de construção argumentativa. Ressalto também que a assinatura não faz parte da dissertação, e sim da carta :)",1.5,Revise o texto e tome cuidado com os desvios ortográficos. Atenção ao uso correto da pontuação.,1.5,Uma melhor organização textual traria mais coesão à redação.,1.0,"Seu texto apresenta pontos relevantes mas que não são justificados por repertórios e, por isso, perdem um pouco da validade. Desenvolva suas ideias e baseie as informações em repertórios socioculturais que corroborem a defesa da sua tese.",5.0,"Oii, Alice! Seu texto traz uma discussão bastante interessante! Acredito que seja válida a reescrita da redação a partir dos comentários supracitados! Preste atenção na justificativa de seus argumentos e na organização das informações! Você está indo bem, continue praticando! :)",Sharon Williams
8,8,2.0,"Texto de acordo com o tema e seguindo as principais estruturas do gênero textual escolhido. Contudo, se atente à organização das informações em cada um dos parágrafos.",2.0,"Seu texto não possui graves desvios ortográficos. Entretanto, atenção à pontuação e uso correto da virgula. Uma dica para melhorar esse aspecto é a elaboração de frases mais curtas :)",1.0,Sua redação apresenta uma discussão interessante mas perde a coerência pela grande quantidade de frases muito longas. Da próxima vez tente elaborar frases curtas e fazer maior uso de conectivos :),1.0,Argumentos pertinentes mas não desenvolvidos ou justificados por repertórios socioculturais.,6.0,"Oii, Ana! Sua redação apresenta uma discussão bastante relevante para o tema, parabéns. Acredito que para que fique ainda melhor, seria interessante que você se atentasse à justificativa de seus argumentos. Isso pode ser feito por meio de repertórios socioculturais (músicas, filmes, jogos) que estejam relacionados à problemática. Outra dica legal é reescrever a redação a  partir desses apontamentos, com certeza você verá uma evolução!  Continue praticando :)",Madison Abbott
9,9,2.0,Texto de acordo com o tema e gênero propostos.,2.0,Redação com poucos desvios ortográficos. Atenção ao uso correto da pontuação.,1.0,"Cuidado com o uso de conectivos. De fato, são mecanismos linguísticos essenciais para a coesão do texto, mas o uso incorreto deles pode causar prejuízo de sentido à frase. 

Exemplo: ""Atualmente, por conta da pandemia provocada pelo vírus da Covid-19, as escolas brasileiras adotaram o ensino remoto como alternativa na tentativa de manter a educação em dia e os estudantes motivados. Portanto, não são todos os alunos que se adaptaram a esta forma de aprendizado."" Nesse caso, o conectivo ""portanto"" deveria ser substituído por ""Entretanto / Contudo / Mas"".",2.0,"Seus argumentos são interessantes e pertinentes ao tema. Contudo, poderia ser mais desenvolvido, além disso, poderia ter usado o repertório mais a favor da defesa de sua tese.",7.0,"Oii, Ariana! Sua redação está bem legal e caminhando para atingir a nota máxima. Se atente à organização textual e ao emprego correto das vírgulas, isso te ajudará na coesão textual. Além disso, busque desenvolver mais seus argumentos e se apropriar de repertórios socioculturais para defender sua tese :)",Lynn Patterson
